DBN,School Name,Cohort Year,Econ Disadv # Total Cohort,Econ Disadv # Grads,Econ Disadv % Grads,Econ Disadv # Total Regents,Econ Disadv % Total Regents of Cohort,Econ Disadv # Advanced Regents,Econ Disadv % Advanced Regents of Cohort,Econ Disadv # Dropout,Econ Disadv % Dropout,Not Econ Disadv # Total Cohort,Not Econ Disadv # Grads,Not Econ Disadv % Grads,Not Econ Disadv # Total Regents,Not Econ Disadv % Total Regents of Cohort,Not Econ Disadv # Advanced Regents,Not Econ Disadv % Advanced Regents of Cohort,Not Econ Disadv # Dropout,Not Econ Disadv % Dropout
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,2015,64.0,47,73.4,40,62.5,4,6.3,4,6.3,20.0,16,80.0,10,50.0,1,5.0,1,5.0
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,2014,100.0,78,78.0,66,66.0,15,15.0,5,5.0,19.0,17,89.5,16,84.2,4,21.1,1,5.3
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,2013,80.0,68,85.0,64,80.0,15,18.8,1,1.3,20.0,12,60.0,10,50.0,3,15.0,2,10.0
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,2012,84.0,69,82.1,65,77.4,4,4.8,2,2.4,12.0,9,75.0,9,75.0,0,0.0,1,8.3
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,2011,71.0,48,67.6,45,63.4,4,5.6,6,8.5,13.0,11,84.6,10,76.9,1,7.7,2,15.4
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,2010,51.0,s,s,s,s,s,s,s,s,4.0,s,s,s,s,s,s,s,s
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,2009,70.0,39,55.7,38,54.3,12,17.1,2,2.9,11.0,9,81.8,9,81.8,1,9.1,0,0.0
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,2008,1.0,s,s,s,s,s,s,s,s,,,,,,,,,
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,2017,232.0,212,91.4,212,91.4,78,33.6,9,3.9,54.0,51,94.4,51,94.4,20,37.0,1,1.9
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,2016,206.0,183,88.8,173,84.0,35,17.0,7,3.4,41.0,37,90.2,37,90.2,9,22.0,3,7.3
