DBN,School Name,Cohort Year,Asian # Total Cohort,Asian # Grads,Asian % Grads,Asian # Total Regents,Asian % Total Regents of Cohort,Asian # Advanced Regents,Asian % Advanced Regents of Cohort,Asian # Dropout,Asian % Dropout,Black # Total Cohort,Black # Grads,Black % Grads,Black # Total Regents,Black % Total Regents of Cohort,Black # Advanced Regents,Black % Advanced Regents of Cohort,Black # Dropout,Black % Dropout,Hispanic # Total Cohort,Hispanic # Grads,Hispanic % Grads,Hispanic # Total Regents,Hispanic % Total Regents of Cohort,Hispanic # Advanced Regents,Hispanic % Advanced Regents of Cohort,Hispanic # Dropout,Hispanic % Dropout,White # Total Cohort,White # Grads,White % Grads,White # Total Regents,White % Total Regents of Cohort,White # Advanced Regents,White % Advanced Regents of Cohort,White # Dropout,White % Dropout,Native American # Total Cohort,Native American # Grads,Native American % Grads,Native American # Total Regents,Native American % Total Regents of Cohort,Native American # Advanced Regents,Native American % Advanced Regents of Cohort,Native American # Dropout,Native American % Dropout,Multi-Racial # Total Cohort,Multi-Racial # Grads,Multi-Racial % Grads,Multi-Racial # Total Regents,Multi-Racial % Total Regents of Cohort,Multi-Racial # Advanced Regents,Multi-Racial % Advanced Regents of Cohort,Multi-Racial # Dropout,Multi-Racial % Dropout
01M292,ORCHARD COLLEGIATE ACADEMY,2006,9.0,8,88.9,7,77.8,0,0,0,0,24.0,16,66.7,14,58.3,0,0,1,4.2,42.0,17,40.5,14,33.3,0,0,10,23.8,2.0,s,s,s,s,s,s,s,s,,,,,,,,,,1.0,s,s,s,s,s,s,s,s
01M292,ORCHARD COLLEGIATE ACADEMY,2005,8.0,s,s,s,s,s,s,s,s,21.0,16,76.2,8,38.1,0,0,1,4.8,31.0,16,51.6,12,38.7,0,0,7,22.6,4.0,s,s,s,s,s,s,s,s,,,,,,,,,,,,,,,,,,
01M292,ORCHARD COLLEGIATE ACADEMY,2004,10.0,9,90,6,60,0,0,1,10,23.0,15,65.2,5,21.7,0,0,2,8.7,20.0,12,60,5,25,0,0,0,0,1.0,s,s,s,s,s,s,s,s,1.0,s,s,s,s,s,s,s,s,,,,,,,,,
01M292,ORCHARD COLLEGIATE ACADEMY,2003,2.0,s,s,s,s,s,s,s,s,2.0,s,s,s,s,s,s,s,s,1.0,s,s,s,s,s,s,s,s,,,,,,,,,,,,,,,,,,,,,,,,,,,
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2017,39.0,38,97.4,38,97.4,24,61.5,1,2.6,23.0,22,95.7,22,95.7,9,39.1,1,4.3,62.0,62,100,62,100,32,51.6,0,0,7.0,7,100,7,100,5,71.4,0,0,1.0,s,s,s,s,s,s,s,s,2.0,s,s,s,s,s,s,s,s
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2016,44.0,43,97.7,43,97.7,26,59.1,1,2.3,25.0,24,96,24,96,12,48,1,4,55.0,53,96.4,53,96.4,33,60,2,3.6,3.0,s,s,s,s,s,s,s,s,1.0,s,s,s,s,s,s,s,s,,,,,,,,,
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2015,32.0,29,90.6,23,71.9,7,21.9,1,3.1,27.0,s,s,s,s,s,s,s,s,36.0,35,97.2,32,88.9,8,22.2,1,2.8,4.0,s,s,s,s,s,s,s,s,,,,,,,,,,,,,,,,,,
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2014,23.0,22,95.7,20,87,9,39.1,1,4.3,19.0,18,94.7,16,84.2,4,21.1,0,0,42.0,39,92.9,34,81,7,16.7,2,4.8,2.0,s,s,s,s,s,s,s,s,1.0,s,s,s,s,s,s,s,s,1.0,s,s,s,s,s,s,s,s
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2013,25.0,25,100,24,96,14,56,0,0,19.0,18,94.7,16,84.2,0,0,1,5.3,31.0,25,80.6,22,71,6,19.4,5,16.1,2.0,s,s,s,s,s,s,s,s,1.0,s,s,s,s,s,s,s,s,,,,,,,,,
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2012,19.0,15,78.9,13,68.4,7,36.8,4,21.1,18.0,15,83.3,13,72.2,1,5.6,2,11.1,25.0,17,68,17,68,2,8,7,28,3.0,s,s,s,s,s,s,s,s,1.0,s,s,s,s,s,s,s,s,,,,,,,,,
