Index,School / Cohort,Class,% Grads,% Total Regents of Cohort,% Advanced Regents of Cohort,% Dropout,PC 1,PC 2,PC 3
01M650-2015,CASCADES HIGH SCHOOL - 2015,2,32.7,23.8,0,29.7,2.647294156,0.773759011,0.645927458
01M650-2014,CASCADES HIGH SCHOOL - 2014,2,28.2,25.2,0,21.4,2.306600934,0.395225706,-0.066098016
01M650-2013,CASCADES HIGH SCHOOL - 2013,2,23.6,20,0.9,14.5,2.153844117,0.141930585,-0.788084792
01M650-2012,CASCADES HIGH SCHOOL - 2012,2,28.6,28.6,0,16.1,1.964108618,0.122298384,-0.425138446
01M650-2011,CASCADES HIGH SCHOOL - 2011,2,26.6,26.6,0,12.8,1.885264876,-0.0196175,-0.753375835
01M650-2010,CASCADES HIGH SCHOOL - 2010,2,31.6,29.4,0,12.5,1.700294301,-0.079224231,-0.647876068
01M650-2009,CASCADES HIGH SCHOOL - 2009,2,37.7,36.9,0,11.5,1.360183577,-0.194331202,-0.503067125
01M650-2008,CASCADES HIGH SCHOOL - 2008,2,31.1,31.1,0,12.3,1.667166882,-0.090008632,-0.644473476
01M650-2007,CASCADES HIGH SCHOOL - 2007,2,38.1,24.6,0,15.3,1.790158091,0.023319107,-0.394651204
01M650-2006,CASCADES HIGH SCHOOL - 2006,1,55.1,40.4,0,6.7,0.655646058,-0.569319355,-0.535962822
01M650-2005,CASCADES HIGH SCHOOL - 2005,2,32.6,17.9,0,7.4,1.656307187,-0.305876423,-1.223482464
01M650-2004,CASCADES HIGH SCHOOL - 2004,2,41.8,14.9,0,10.4,1.658512975,-0.218510388,-0.879839871
01M650-2003,CASCADES HIGH SCHOOL - 2003,2,29,7.5,0,4.3,1.793994738,-0.403005547,-1.699349607
01M650-2002,CASCADES HIGH SCHOOL - 2002,2,23.9,6.5,0,8.7,2.149343296,-0.145984134,-1.451488356
01M650-2001,CASCADES HIGH SCHOOL - 2001,2,31.4,2.3,0,12.8,2.269272612,0.011404341,-1.068462139
01M696-2017,BARD HIGH SCHOOL EARLY COLLEGE - 2017,1,93.8,93.8,0.6,0,-1.649835453,-1.308028655,0.441109071
01M696-2016,BARD HIGH SCHOOL EARLY COLLEGE - 2016,1,95.9,95.9,0,0,-1.727959267,-1.354426996,0.518531601
01M696-2015,BARD HIGH SCHOOL EARLY COLLEGE - 2015,1,96.7,96.7,0,0,-1.762296252,-1.362569976,0.544954136
01M696-2014,BARD HIGH SCHOOL EARLY COLLEGE - 2014,1,97.8,97.8,0,0,-1.809509606,-1.373766574,0.581285122
01M696-2013,BARD HIGH SCHOOL EARLY COLLEGE - 2013,1,94.7,94.7,0,0,-1.67645379,-1.342212526,0.478897798
01M696-2012,BARD HIGH SCHOOL EARLY COLLEGE - 2012,1,96.9,96.9,0,0,-1.770880498,-1.364605721,0.55155977
01M696-2011,BARD HIGH SCHOOL EARLY COLLEGE - 2011,1,96.1,96.1,0,1.3,-1.67166713,-1.292536882,0.628420679
01M696-2010,BARD HIGH SCHOOL EARLY COLLEGE - 2010,1,99.3,99.3,0,0,-1.873891452,-1.389034662,0.630827376
01M696-2009,BARD HIGH SCHOOL EARLY COLLEGE - 2009,1,94.3,94.3,0,0,-1.659285298,-1.338141036,0.46568653
01M696-2008,BARD HIGH SCHOOL EARLY COLLEGE - 2008,1,94.5,94.5,0,0.7,-1.632936107,-1.305755165,0.527906327
01M696-2007,BARD HIGH SCHOOL EARLY COLLEGE - 2007,1,97.6,97.6,0,0.8,-1.761001431,-1.332391839,0.638238531
