Index,School / Cohort,Class,% Grads,% Total Regents of Cohort,% Advanced Regents of Cohort,% Dropout,PC 1,PC 2,PC 3
02M288-2016,FOOD AND FINANCE HIGH SCHOOL - 2016,1,83,78.4,14.8,9.1,-0.923137096,-0.145778932,0.541687731
02M288-2015,FOOD AND FINANCE HIGH SCHOOL - 2015,1,82.9,70.7,2.4,6.1,-0.666240018,-0.788562602,0.342986629
02M288-2014,FOOD AND FINANCE HIGH SCHOOL - 2014,1,83.3,79.8,2.4,3.6,-0.984571401,-0.939450002,0.299174074
02M288-2013,FOOD AND FINANCE HIGH SCHOOL - 2013,1,88.4,77.9,4.7,7,-0.937902741,-0.709034167,0.592904488
02M288-2012,FOOD AND FINANCE HIGH SCHOOL - 2012,1,88.3,76.6,1.1,3.2,-1.026853533,-1.041720601,0.316545686
02M288-2011,FOOD AND FINANCE HIGH SCHOOL - 2011,1,78.8,67.7,0,7.1,-0.414618504,-0.800767674,0.33717666
02M288-2010,FOOD AND FINANCE HIGH SCHOOL - 2010,1,66.7,54.9,0,9.8,0.253664799,-0.542914502,0.140654625
02M288-2009,FOOD AND FINANCE HIGH SCHOOL - 2009,1,82.9,73.2,0,3.7,-0.788658551,-1.013534166,0.225252137
02M288-2008,FOOD AND FINANCE HIGH SCHOOL - 2008,1,72.2,69.1,1,9.3,-0.203772992,-0.605660895,0.41074438
02M288-2007,FOOD AND FINANCE HIGH SCHOOL - 2007,1,76.7,67.8,0,8.9,-0.279262133,-0.69691864,0.446631788
02M288-2006,FOOD AND FINANCE HIGH SCHOOL - 2006,1,89.2,75.5,0,2.9,-1.017882502,-1.106019094,0.304667945
02M288-2005,FOOD AND FINANCE HIGH SCHOOL - 2005,1,74.7,60.8,0,2.5,-0.411431434,-0.977548073,-0.209275159
02M288-2004,FOOD AND FINANCE HIGH SCHOOL - 2004,1,66.3,62.5,0,20,0.617655915,-0.059230949,1.06802638
02M294-2017,ESSEX STREET ACADEMY - 2017,1,97.9,97.9,0,1.1,-1.758906327,-1.320693335,0.671981623
02M294-2016,ESSEX STREET ACADEMY - 2016,1,97,97,0,1.5,-1.700315255,-1.291862988,0.674035792
02M294-2015,ESSEX STREET ACADEMY - 2015,1,87.5,87.5,0,2.8,-1.22768718,-1.131239239,0.46355163
02M294-2014,ESSEX STREET ACADEMY - 2014,1,78.8,75.3,0,4.7,-0.688487378,-0.939646702,0.270194498
02M294-2013,ESSEX STREET ACADEMY - 2013,1,82.5,80,0,2.5,-0.977362667,-1.088235216,0.23388701
02M294-2012,ESSEX STREET ACADEMY - 2012,1,79.5,78.4,0,4.5,-0.77717546,-0.963194576,0.316486024
02M294-2011,ESSEX STREET ACADEMY - 2011,1,78.7,75.3,0,4.5,-0.69620383,-0.948738078,0.252629486
02M294-2010,ESSEX STREET ACADEMY - 2010,1,67.1,65.8,0,13.9,0.228209145,-0.374196248,0.650500348
02M294-2009,ESSEX STREET ACADEMY - 2009,1,60.3,53.8,0,11.5,0.50573658,-0.408723848,0.150598272
02M294-2008,ESSEX STREET ACADEMY - 2008,1,69.4,68.2,0,14.1,0.137443703,-0.388047069,0.743982463
02M294-2007,ESSEX STREET ACADEMY - 2007,2,58.8,15,0,10,1.251553353,-0.364827582,-0.625199061
02M294-2006,ESSEX STREET ACADEMY - 2006,1,71.9,65.2,0,10.1,-0.057961385,-0.595091291,0.419241578
02M294-2005,ESSEX STREET ACADEMY - 2005,1,77.1,75.7,0,0,-0.892653824,-1.159223953,-0.125183893
02M294-2004,ESSEX STREET ACADEMY - 2004,1,84.4,50,0,5.2,-0.277367492,-0.887239959,-0.008041045
02M294-2003,ESSEX STREET ACADEMY - 2003,2,0,0,0,36.4,4.204725499,1.411636798,0.243066626
02M296-2017,HIGH SCHOOL OF HOSPITALITY MANAGEMENT - 2017,1,75,75,0,2.3,-0.716124251,-1.028592044,0.010975114
02M296-2016,HIGH SCHOOL OF HOSPITALITY MANAGEMENT - 2016,1,74.1,72.9,0,9.4,-0.29883916,-0.667003644,0.525805482
02M296-2015,HIGH SCHOOL OF HOSPITALITY MANAGEMENT - 2015,1,69.7,53.5,0,7.1,0.079371953,-0.694141736,-0.046385512
02M296-2014,HIGH SCHOOL OF HOSPITALITY MANAGEMENT - 2014,1,77.8,65.4,0,6.2,-0.39025298,-0.831276803,0.211486218
02M296-2013,HIGH SCHOOL OF HOSPITALITY MANAGEMENT - 2013,1,58.8,55.3,0,9.4,0.404490315,-0.504955632,-0.016959508
02M296-2012,HIGH SCHOOL OF HOSPITALITY MANAGEMENT - 2012,1,74,69.2,0,7.7,-0.306392027,-0.739699099,0.328847347
02M296-2011,HIGH SCHOOL OF HOSPITALITY MANAGEMENT - 2011,1,80.6,68.9,0,1.9,-0.739216694,-1.073145811,-0.026271805
02M296-2010,HIGH SCHOOL OF HOSPITALITY MANAGEMENT - 2010,1,71.4,63.3,0,11.2,0.046780938,-0.532067806,0.467335263
02M296-2009,HIGH SCHOOL OF HOSPITALITY MANAGEMENT - 2009,1,60.5,55.3,0,17.1,0.750261119,-0.138955172,0.623275554
02M296-2008,HIGH SCHOOL OF HOSPITALITY MANAGEMENT - 2008,1,73.2,63.9,0,8.2,-0.155860889,-0.694616715,0.268908773
02M296-2007,HIGH SCHOOL OF HOSPITALITY MANAGEMENT - 2007,1,74.4,69.5,3.7,7.3,-0.41556131,-0.608856968,0.25892738
02M296-2006,HIGH SCHOOL OF HOSPITALITY MANAGEMENT - 2006,1,77.3,66.7,1.3,6.7,-0.406359925,-0.752325045,0.246522065
02M296-2005,HIGH SCHOOL OF HOSPITALITY MANAGEMENT - 2005,1,81.3,69.2,6.6,4.4,-0.768507385,-0.680985365,0.100262531
02M296-2004,HIGH SCHOOL OF HOSPITALITY MANAGEMENT - 2004,1,72.8,48.1,0,8.6,0.193518932,-0.628602613,0.036831963
02M298-2017,PACE HIGH SCHOOL - 2017,1,74.5,74.5,26.2,5.7,-1.049457267,0.236359844,-0.087513764
02M298-2016,PACE HIGH SCHOOL - 2016,1,84.7,84.7,22.1,3.1,-1.534932987,-0.166305498,0.097906404
02M298-2015,PACE HIGH SCHOOL - 2015,1,78.5,76.3,7.4,6.7,-0.750292741,-0.533196888,0.340893707
02M298-2014,PACE HIGH SCHOOL - 2014,1,83.6,80.9,15.5,4.5,-1.230989261,-0.354107353,0.217556608
02M298-2013,PACE HIGH SCHOOL - 2013,1,79.3,78.3,9.8,3.3,-1.026680624,-0.611732511,0.084467594
02M298-2012,PACE HIGH SCHOOL - 2012,1,89,86.2,10.1,0.9,-1.532297053,-0.811030592,0.180835842
02M298-2011,PACE HIGH SCHOOL - 2011,1,86.7,86.7,17.3,1,-1.629489593,-0.490111947,0.061627258
02M298-2010,PACE HIGH SCHOOL - 2010,1,91.6,87.4,18.9,2.1,-1.731778027,-0.407639507,0.220998892
02M298-2009,PACE HIGH SCHOOL - 2009,1,82.7,82.7,6.1,3.1,-1.128803303,-0.813228547,0.24687341
02M298-2008,PACE HIGH SCHOOL - 2008,1,84.8,83.8,10.1,3,-1.283724251,-0.669956111,0.238256195
02M298-2007,PACE HIGH SCHOOL - 2007,0,91.5,86.2,29.8,2.1,-1.923378048,0.050982714,0.053308203
02M298-2006,PACE HIGH SCHOOL - 2006,0,84.8,82.6,42.4,4.3,-1.841096579,0.744336265,-0.11206952
02M298-2005,PACE HIGH SCHOOL - 2005,1,83.7,78.6,13.3,2,-1.267341928,-0.56322262,0.012741558
02M298-2004,PACE HIGH SCHOOL - 2004,0,85.2,85.2,35.7,6.1,-1.67892301,0.543314777,0.169997057
02M300-2017,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE - 2017",1,84.2,84.2,3.5,12.3,-0.682013299,-0.484531329,1.062285947
02M300-2016,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE - 2016",1,69.6,69.6,18.8,14.5,-0.251847184,0.410347258,0.549245974
02M300-2015,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE - 2015",1,69,60.7,4.8,15.5,0.272352026,-0.095458643,0.661935377
02M300-2014,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE - 2014",1,69.8,59.3,2.3,11.6,0.138037822,-0.393602761,0.376298539
02M300-2013,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE - 2013",1,57.6,52.2,0,13,0.674177742,-0.310500192,0.198498639
02M300-2012,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE - 2012",1,66.7,65.4,0,4.9,-0.203766556,-0.812688397,-0.07775015
02M300-2011,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE - 2011",1,59.3,59.3,0,7.4,0.212254115,-0.617999997,-0.102378243
02M300-2010,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE - 2010",1,62.1,60,2.1,8.4,0.14252134,-0.503981608,0.007148747
02M300-2009,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE - 2009",1,52.5,52.5,1.3,6.3,0.423199745,-0.548659236,-0.431834124
02M300-2008,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE - 2008",2,53,53,0,19.3,1.076526302,0.03129345,0.634985051
02M300-2007,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE - 2007",1,54.7,53.5,0,5.8,0.354175039,-0.646561832,-0.400956691
02M300-2006,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE - 2006",1,61.3,56.3,0,8.8,0.297658192,-0.555789176,-0.006471848
02M300-2005,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE - 2005",1,74.7,72.2,5.1,3.8,-0.679792236,-0.732219641,0.011012044
02M300-2004,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE - 2004",1,68.7,63.9,2.4,6,-0.211790935,-0.669255134,-0.013518417
02M300-2003,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE - 2003",2,0,0,0,50,4.883432281,2.08039963,1.323570352
02M303-2017,"FACING HISTORY SCHOOL, THE - 2017",1,81.8,81.8,0,16.7,-0.28935791,-0.389705552,1.379629433
02M303-2016,"FACING HISTORY SCHOOL, THE - 2016",1,83.3,83.3,0,7.9,-0.792902968,-0.837702532,0.730022217
02M303-2015,"FACING HISTORY SCHOOL, THE - 2015",1,73.7,71.7,0,14.1,-0.030896843,-0.429619581,0.872983067
02M303-2014,"FACING HISTORY SCHOOL, THE - 2014",1,65.1,63.2,0,15.1,0.386103059,-0.293183308,0.670017182
02M303-2013,"FACING HISTORY SCHOOL, THE - 2013",1,66.3,66.3,0,14.5,0.266130363,-0.340117535,0.692905444
02M303-2012,"FACING HISTORY SCHOOL, THE - 2012",1,68.9,68.9,0,21.1,0.483907572,-0.042035552,1.303140786
02M303-2011,"FACING HISTORY SCHOOL, THE - 2011",1,60.4,59.4,0,15.6,0.594536959,-0.223226938,0.569157277
02M303-2010,"FACING HISTORY SCHOOL, THE - 2010",1,56.6,56.6,0,17,0.807228578,-0.118449557,0.571154212
02M303-2009,"FACING HISTORY SCHOOL, THE - 2009",2,54.1,54.1,0,18.4,0.984398529,-0.024159511,0.599812114
02M303-2008,"FACING HISTORY SCHOOL, THE - 2008",2,57,57,22.8,21.1,0.538260926,1.029965989,0.603697309
02M303-2007,"FACING HISTORY SCHOOL, THE - 2007",2,48.1,45.6,8.9,20.3,1.209275308,0.508380238,0.392299958
02M303-2006,"FACING HISTORY SCHOOL, THE - 2006",2,47.9,47.9,0,19.7,1.315386543,0.102874444,0.49832091
02M303-2005,"FACING HISTORY SCHOOL, THE - 2005",2,44.8,44.8,0,19,1.413508921,0.100006875,0.340319424
02M305-2017,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE - 2017",0,88.3,88.3,33.3,5,-1.818831143,0.357577542,0.217244199
02M305-2016,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE - 2016",1,87.5,87.5,9.4,0,-1.555589672,-0.876898412,0.114768766
02M305-2015,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE - 2015",1,88.7,80.6,3.2,9.7,-0.834671164,-0.648464258,0.876544714
02M305-2014,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE - 2014",1,79.7,66.1,0,11.9,-0.16301421,-0.567032067,0.707567135
02M305-2013,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE - 2013",1,77.6,68.7,0,4.5,-0.537472846,-0.922443938,0.126782406
02M305-2012,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE - 2012",1,83.1,73.2,0,7,-0.628501406,-0.852747575,0.490783691
02M305-2011,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE - 2011",1,85.7,74,0,2.6,-0.923181533,-1.090635693,0.197786019
02M305-2010,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE - 2010",1,79.7,74.6,0,6.8,-0.589874681,-0.841150694,0.440721292
02M305-2009,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE - 2009",1,80,74.7,0,5.3,-0.67355323,-0.917415916,0.328201407
02M305-2008,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE - 2008",1,61.7,55,1.7,13.3,0.505500365,-0.263013781,0.313744194
02M305-2007,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE - 2007",1,62.7,55.9,1.7,20.3,0.8139411,0.071298159,0.901286421
02M305-2006,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE - 2006",1,75.4,65.6,0,16.4,0.169070635,-0.312412758,0.984913106
02M305-2005,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE - 2005",1,71.4,58.6,2.9,12.9,0.168864111,-0.314626326,0.486929676
02M308-2017,LOWER MANHATTAN ARTS ACADEMY - 2017,1,72.4,72.4,3.9,5.3,-0.53288433,-0.691956524,0.111036345
02M308-2016,LOWER MANHATTAN ARTS ACADEMY - 2016,1,81.4,81.4,1.4,1.4,-1.063759679,-1.079605205,0.132036931
02M308-2015,LOWER MANHATTAN ARTS ACADEMY - 2015,1,71.2,53,0,12.1,0.305066524,-0.45805112,0.367849452
02M308-2014,LOWER MANHATTAN ARTS ACADEMY - 2014,1,70.5,61.5,1.3,3.8,-0.291661289,-0.830105565,-0.182429969
02M308-2013,LOWER MANHATTAN ARTS ACADEMY - 2013,1,76.6,62.3,0,7.8,-0.220375374,-0.735168838,0.268046759
02M308-2012,LOWER MANHATTAN ARTS ACADEMY - 2012,1,71.8,67.9,1.3,5.1,-0.385989763,-0.793411587,0.046795928
02M308-2011,LOWER MANHATTAN ARTS ACADEMY - 2011,1,68.2,57.6,0,9.4,0.144989869,-0.581146094,0.177948142
02M308-2010,LOWER MANHATTAN ARTS ACADEMY - 2010,1,70.3,62.5,0,10.9,0.072940039,-0.536446832,0.412052332
02M308-2009,LOWER MANHATTAN ARTS ACADEMY - 2009,1,69.9,61.6,0,8.2,-0.034496761,-0.66377193,0.176191468
02M308-2008,LOWER MANHATTAN ARTS ACADEMY - 2008,1,66.7,53.3,3.3,10,0.230028034,-0.39106114,0.086154776
02M308-2007,LOWER MANHATTAN ARTS ACADEMY - 2007,1,73,54,1.6,7.9,0.002399709,-0.613978468,0.059092325
02M308-2006,LOWER MANHATTAN ARTS ACADEMY - 2006,1,67.6,47.1,1.5,8.8,0.311504469,-0.51480998,-0.070825449
02M308-2005,LOWER MANHATTAN ARTS ACADEMY - 2005,1,77.6,44.8,3,10.4,0.181507064,-0.441598111,0.166225351
02M313-2017,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING - 2017",1,48.8,48.8,0,2.3,0.408411994,-0.761909444,-0.854362916
02M313-2016,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING - 2016",2,21.7,19.3,0,4.8,1.745001861,-0.35654363,-1.589865859
02M313-2015,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING - 2015",2,36.4,36.4,0,10.9,1.369817485,-0.212799108,-0.580652504
02M313-2014,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING - 2014",2,31.5,30.7,0,6.3,1.366789673,-0.386926542,-1.120975551
02M313-2013,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING - 2013",2,36.8,36,0,12.3,1.438736613,-0.14583136,-0.469233435
02M313-2012,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING - 2012",2,29.7,29.7,0,8.9,1.55757991,-0.242949125,-0.960838844
02M313-2011,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING - 2011",2,43,42.2,0,18.5,1.482035427,0.095937718,0.228123795
02M313-2010,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING - 2010",2,33.9,33.9,0,13.9,1.626835293,-0.039831082,-0.424876517
02M313-2009,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING - 2009",2,31.1,31.1,0,26.2,2.360845137,0.593506321,0.459864891
02M313-2008,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING - 2008",1,52.2,49.6,0,11.3,0.764341429,-0.346816451,-0.06934461
02M313-2007,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING - 2007",2,43.1,34.9,0,10.1,1.208583959,-0.297826495,-0.556383172
02M313-2006,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING - 2006",2,51.9,38,0,15.2,1.200964989,-0.120966671,0.046682388
02M313-2005,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING - 2005",2,38.5,19.2,0,10.3,1.641065456,-0.210700027,-0.873082743
02M313-2004,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING - 2004",2,29.5,15.9,0,9.1,1.851897824,-0.193746529,-1.172903604
02M313-2003,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING - 2003",2,60,16,0,8,1.104293241,-0.474840526,-0.747717995
02M316-2017,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE - 2017",1,68.6,68.6,0,5.7,-0.271751679,-0.796257495,0.069720764
02M316-2016,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE - 2016",1,81.6,81.6,0,2,-1.014375847,-1.110523751,0.20512639
02M316-2015,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE - 2015",1,66,51.1,0,10.6,0.38648898,-0.487940881,0.130639424
02M316-2014,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE - 2014",1,61.9,54,0,11.1,0.445486952,-0.440836292,0.148877906
02M316-2013,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE - 2013",1,71.2,57.7,0,17.3,0.469275175,-0.21524922,0.857478801
02M316-2012,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE - 2012",1,63.3,54.4,1.1,8.9,0.273862612,-0.514648189,-0.010728533
02M316-2011,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE - 2011",1,76,69.3,20,1.3,-1.073460671,-0.235452331,-0.413271577
02M316-2010,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE - 2010",1,69.4,63.3,13.3,9.2,-0.273977041,-0.060870931,0.09619447
02M316-2009,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE - 2009",1,66.7,60.5,2.5,9.9,0.095065188,-0.449106593,0.206145768
02M316-2008,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE - 2008",1,52.5,52.5,1.6,9.8,0.591861546,-0.364039645,-0.157795
02M316-2007,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE - 2007",1,60.7,49.2,0,6.6,0.34541369,-0.640021614,-0.306867864
02M316-2006,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE - 2006",1,73.6,61.1,11.1,5.6,-0.460098424,-0.354830053,-0.125701384
02M316-2005,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE - 2005",1,63.6,41.6,7.8,9.1,0.40246167,-0.19248375,-0.288182407
02M374-2017,GRAMERCY ARTS HIGH SCHOOL - 2017,0,95.3,95.3,50,3.5,-2.528436912,0.909039881,0.104837563
02M374-2016,GRAMERCY ARTS HIGH SCHOOL - 2016,0,95.5,95.5,25.5,0.9,-2.176334116,-0.242620847,0.234130803
02M374-2015,GRAMERCY ARTS HIGH SCHOOL - 2015,1,85.3,80.7,4.6,2.8,-1.132073758,-0.904375866,0.254202441
02M374-2014,GRAMERCY ARTS HIGH SCHOOL - 2014,1,69.9,66.4,1.8,0.9,-0.532159397,-0.960847195,-0.349851786
02M374-2013,GRAMERCY ARTS HIGH SCHOOL - 2013,1,77.3,71.9,2.3,3.1,-0.711470405,-0.901919509,0.031700812
02M374-2012,GRAMERCY ARTS HIGH SCHOOL - 2012,1,70.5,61,3.8,5.7,-0.236748871,-0.631040381,-0.073212467
02M374-2011,GRAMERCY ARTS HIGH SCHOOL - 2011,1,82.3,79.6,8,5.3,-0.985133097,-0.614323754,0.338971223
02M374-2010,GRAMERCY ARTS HIGH SCHOOL - 2010,1,69,67.5,3.2,4,-0.407402064,-0.746350727,-0.119549083
02M374-2009,GRAMERCY ARTS HIGH SCHOOL - 2009,1,72.3,67.9,1.8,4.5,-0.437264333,-0.805780173,0.000783424
02M374-2008,GRAMERCY ARTS HIGH SCHOOL - 2008,1,65.3,62.1,0,10.5,0.174314937,-0.517849736,0.289999971
02M374-2007,GRAMERCY ARTS HIGH SCHOOL - 2007,1,73.6,65.3,2.8,5.6,-0.379108345,-0.712510844,0.05419972
02M374-2006,GRAMERCY ARTS HIGH SCHOOL - 2006,1,73.1,54.8,1.1,7.5,-0.026038555,-0.657439856,0.048728057
02M374-2005,GRAMERCY ARTS HIGH SCHOOL - 2005,1,73.5,19.1,0,5.9,0.630926016,-0.686970086,-0.637946995
02M376-2017,NYC ISCHOOL - 2017,1,100,100,0,0,-1.903936313,-1.39615977,0.653947094
02M376-2016,NYC ISCHOOL - 2016,1,98,98,0,1,-1.768188941,-1.326628582,0.66733956
02M376-2015,NYC ISCHOOL - 2015,1,98.2,97.2,0,0,-1.806402165,-1.375093057,0.578220737
02M376-2014,NYC ISCHOOL - 2014,1,98.2,98.2,0,0,-1.826678098,-1.377838064,0.59449639
02M376-2013,NYC ISCHOOL - 2013,1,98.1,98.1,0,1.9,-1.727566645,-1.28339009,0.742146299
02M376-2012,NYC ISCHOOL - 2012,1,96.3,95.3,0,0.9,-1.679937407,-1.311497115,0.586971138
02M376-2011,NYC ISCHOOL - 2011,1,98,98,0,0,-1.818093852,-1.375802319,0.587890756
02M376-2010,NYC ISCHOOL - 2010,1,94.9,91.9,0,2,-1.524400417,-1.237665773,0.595574078
02M376-2009,NYC ISCHOOL - 2009,1,89.9,89.9,0,3,-1.320717152,-1.145833432,0.558708996
02M376-2008,NYC ISCHOOL - 2008,1,91.9,91.9,0,0,-1.556274344,-1.313712096,0.386418925
02M392-2017,MANHATTAN BUSINESS ACADEMY - 2017,0,92.2,92.2,24.3,1,-2.005682022,-0.254159717,0.149209476
02M392-2016,MANHATTAN BUSINESS ACADEMY - 2016,1,92.1,87.1,9.9,2,-1.561846825,-0.790795518,0.337498204
02M392-2015,MANHATTAN BUSINESS ACADEMY - 2015,1,91.2,79.1,2.2,4.4,-1.105348583,-0.965256881,0.486372824
02M392-2014,MANHATTAN BUSINESS ACADEMY - 2014,1,83.3,74,0,7.3,-0.634279739,-0.841678203,0.530989358
02M392-2013,MANHATTAN BUSINESS ACADEMY - 2013,1,84.6,79.8,0,5.8,-0.856176402,-0.941023687,0.527993213
02M392-2012,MANHATTAN BUSINESS ACADEMY - 2012,1,87.5,81.3,3.1,2.1,-1.198965483,-1.019356212,0.265367643
02M392-2011,MANHATTAN BUSINESS ACADEMY - 2011,1,85.9,76.8,1,8.1,-0.730024149,-0.787647869,0.670237812
02M392-2010,MANHATTAN BUSINESS ACADEMY - 2010,1,82.9,76.3,9.2,2.6,-1.090574497,-0.692448514,0.064674556
02M392-2009,MANHATTAN BUSINESS ACADEMY - 2009,1,86.2,75.9,4.6,3.4,-1.025187103,-0.868385932,0.23882585
02M393-2017,BUSINESS OF SPORTS SCHOOL - 2017,1,82.7,82.7,27.6,6.1,-1.409474527,0.230950837,0.196282202
02M393-2016,BUSINESS OF SPORTS SCHOOL - 2016,1,79.2,79.2,11.9,7.9,-0.855139543,-0.299679887,0.434683112
02M393-2015,BUSINESS OF SPORTS SCHOOL - 2015,1,83.5,73.6,1.1,7.7,-0.632756208,-0.776521914,0.544826266
02M393-2014,BUSINESS OF SPORTS SCHOOL - 2014,1,74.7,57.1,1.1,4.4,-0.2636109,-0.828085909,-0.133325205
02M393-2013,BUSINESS OF SPORTS SCHOOL - 2013,1,78.1,65.6,0,4.2,-0.500911577,-0.932403395,0.060869497
02M393-2012,BUSINESS OF SPORTS SCHOOL - 2012,1,65.9,52.9,1.2,7.1,0.153568103,-0.614200567,-0.135937214
02M393-2011,BUSINESS OF SPORTS SCHOOL - 2011,1,60,48,0,6.7,0.390587009,-0.626606629,-0.330180529
02M393-2010,BUSINESS OF SPORTS SCHOOL - 2010,1,58.8,51.5,0,10.3,0.526453279,-0.450268239,-0.007303068
02M393-2009,BUSINESS OF SPORTS SCHOOL - 2009,1,69.1,63,3.7,9.9,-0.033994901,-0.423763997,0.270914188
02M394-2017,EMMA LAZARUS HIGH SCHOOL - 2017,2,47.4,47.4,35.8,28.4,1.054377219,2.028815441,0.691896684
02M394-2016,EMMA LAZARUS HIGH SCHOOL - 2016,2,51.8,51.8,35.5,27,0.801662315,1.902674308,0.730023991
02M394-2015,EMMA LAZARUS HIGH SCHOOL - 2015,2,44,44,21.3,29.3,1.535484118,1.502956518,0.845969737
02M394-2014,EMMA LAZARUS HIGH SCHOOL - 2014,1,61.6,61.6,38.4,20.2,-0.016371196,1.589485976,0.474475204
02M394-2013,EMMA LAZARUS HIGH SCHOOL - 2013,2,45.4,44.3,26.8,29.9,1.417542135,1.750607725,0.848060962
02M394-2012,EMMA LAZARUS HIGH SCHOOL - 2012,0,69.5,69.5,45.8,10.2,-1.002630864,1.325953901,-0.15853859
02M394-2011,EMMA LAZARUS HIGH SCHOOL - 2011,1,52.5,52.5,25.4,15.3,0.38991131,0.898995655,-0.040673805
02M394-2010,EMMA LAZARUS HIGH SCHOOL - 2010,2,47.1,47.1,21.2,22.4,1.060086216,1.127933177,0.401504214
02M394-2009,EMMA LAZARUS HIGH SCHOOL - 2009,1,53,53,31.3,14.5,0.210420853,1.100626986,-0.167008621
02M394-2008,EMMA LAZARUS HIGH SCHOOL - 2008,2,49.3,49.3,38.8,19.4,0.463628833,1.692027318,-0.000705902
02M394-2007,EMMA LAZARUS HIGH SCHOOL - 2007,2,7.1,7.1,7.1,14.3,2.654958785,0.548733969,-1.373668536
