School_Names,lat,lng
BRONX COLLEGIATE ACADEMY,40.839614,-73.911386
EAGLE ACADEMY FOR YOUNG MEN,40.845264,-73.897176
URBAN ASSEMBLY ACADEMY FOR HISTORY AND CITIZENSHIP FOR YOUNG MEN,40.703897,-74.0118394
"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",40.8393786,-73.9016513
EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,40.8338772,-73.9024931
MOTT HALL BRONX HIGH SCHOOL,40.8391296,-73.9017915
BRONX CENTER FOR SCIENCE AND MATHEMATICS,40.8335109,-73.9027378
VALIDUS PREPARATORY ACADEMY,40.8395651,-73.9015445
LEADERSHIP INSTITUTE,40.0724901,-75.1318877
MORRIS ACADEMY FOR COLLABORATIVE STUDIES,40.8273076,-73.9045274
BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING,40.8282932,-73.9174939
COMPREHENSIVE MODEL SCHOOL PROJECT M.S. 327,40.8432195,-73.9160047
DREAMYARD PREPARATORY SCHOOL,40.8396259,-73.9113888
NEW DIRECTIONS SECONDARY SCHOOL,,
ACADEMY FOR LANGUAGE AND TECHNOLOGY,40.84931599999999,-73.9156856
BRONX INTERNATIONAL HIGH SCHOOL,40.8269334,-73.90355339999999
SCHOOL FOR EXCELLENCE,40.8273076,-73.9045274
BRONX HIGH SCHOOL OF BUSINESS,40.83965449999999,-73.911386
BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,40.8398672,-73.9111588
JONATHAN LEVIN HS FOR MEDIA AND COMMUNICATIONS,40.8398672,-73.9111588
"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",40.8274689,-73.9188614
FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,40.83348549999999,-73.9043324
BRONX LEADERSHIP ACADEMY HIGH SCHOOL,40.8434363,-73.9031401
HIGH SCHOOL FOR VIOLIN AND DANCE,40.8273076,-73.9045274
CLAREMONT INTERNATIONAL HS,40.83961530000001,-73.9117717
YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX,40.8488295,-73.9087618
RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),40.8877008,-73.91360499999999
BRONX ENGINEERING AND TECHNOLOGY ACADEMY,40.8777961,-73.9135665
THEATRE ARTS PRODUCTION COMPANY SCHOOL,40.8545104,-73.8969966
"THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND HEALTH PROFESSIONS",40.8756817,-73.9016086
WEST BRONX ACADEMY FOR THE FUTURE,40.8599092,-73.88834109999999
BRONX ACADEMY FOR SOFTWARE ENGINEERING (BASE),40.8555424,-73.88264339999999
KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,40.8701132,-73.8964878
BRONX SCHOOL OF LAW AND FINANCE,40.87782670000001,-73.9137832
PROVIDING URBAN LEARNERS SUCCESS IN EDUCATION HIGH SCHOOL,40.8481654,-73.8934806
INTERNATIONAL SCHOOL FOR LIBERAL ARTS,40.8704419,-73.8969425
BRONX COLLABORATIVE HIGH SCHOOL,40.8812165,-73.8875851
WORLD VIEW HIGH SCHOOL,40.8815591,-73.8868091
IN-TECH ACADEMY (M.S. / HIGH SCHOOL 368),40.8790763,-73.91129529999999
KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIONAL HIGH SCHOOL (KAPPA),40.859837,-73.8882078
ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS),40.8770374,-73.9128109
WILLIAM H TAFT HS,40.8394459,-73.9118711
WALTON HS,40.8706673,-73.897646
HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,40.8707784,-73.897505
BELMONT PREPARATORY HIGH SCHOOL,40.8596644,-73.88801629999999
THEODORE ROOSEVELT HS,40.859085,-73.888359
FORDHAM HIGH SCHOOL FOR THE ARTS,40.859836,-73.8882002
FORDHAM LEADERSHIP ACADEMY,40.8598708,-73.8882672
BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,40.8596908,-73.888067
DEWITT CLINTON HIGH SCHOOL,40.8815104,-73.8868206
"CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE",40.87085070000001,-73.8974495
THE BRONX HIGH SCHOOL OF SCIENCE,40.8779214,-73.8913054
JOHN F KENNEDY HS,40.5720826,-74.3042561
MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,40.8776626,-73.913269
CROTONA INTERNATIONAL HIGH SCHOOL,40.8554177,-73.8826606
BRONX THEATRE HIGH SCHOOL,40.87769309999999,-73.91333
DISCOVERY HIGH SCHOOL,40.870834,-73.8974623
HIGH SCHOOL FOR ENERGY AND TECHNOLOGY,40.8553415,-73.88269939999999
GRACE DODGE CAREER AND TECHNICAL EDUCATION HS,40.8554629,-73.8825928
HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,40.8746797,-73.8950764
BRONX HEALTH SCIENCES HIGH SCHOOL,40.8740132,-73.8330379
BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,40.8755648,-73.8614302
BRONX LAB SCHOOL,40.8755689,-73.8614429
ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,40.8879842,-73.8538228
HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,40.8754718,-73.86119459999999
COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,40.8603477,-73.85997549999999
BRONX ACADEMY OF HEALTH CAREERS,40.8755631,-73.8614249
ASTOR COLLEGIATE ACADEMY,40.8600984,-73.8599839
CHRISTOPHER COLUMBUS HS,40.859904,-73.86031919999999
BRONX HIGH SCHOOL FOR THE VISUAL ARTS,40.8517393,-73.86448589999999
EVANDER CHILDS HS,40.8755679,-73.8614399
HARRY S TRUMAN HIGH SCHOOL,40.1345962,-74.861358
BRONXDALE HIGH SCHOOL,40.860235,-73.85997929999999
HIGH SCHOOL OF LANGUAGE AND INNOVATION,40.8603265,-73.85997619999999
NEW WORLD HIGH SCHOOL,40.8880411,-73.8529037
THE BRONXWOOD PREPARATORY ACADEMY,40.888008,-73.8528001
GLOBAL ENTERPRISE HS,40.7119031,-73.94046639999999
PELHAM PREPARATORY ACADEMY,40.8603308,-73.8599761
HIGH SCHOOL FOR CONTEMPORARY ARTS,40.8755679,-73.8614399
BRONX AEROSPACE HIGH SCHOOL,40.8755654,-73.8614327
MOTT HALL V,40.8321853,-73.8773634
NEW DAY ACADEMY,40.82743929999999,-73.9006359
"METROPOLITAN HIGH SCHOOL, THE",40.708753,-73.8558
EXPLORATIONS ACADEMY H.S.,40.8363157,-73.8907414
PERFORMANCE CONSERVATORY HS,40.761226,-73.9886092
BRONX LATIN,40.8277047,-73.9006169
EAST BRONX ACADEMY FOR THE FUTURE,40.8368694,-73.8878433
PEACE AND DIVERSITY ACADEMY,40.8277551,-73.89707539999999
CROTONA ACADEMY HIGH SCHOOL,40.8293118,-73.8920828
URBAN ASSEMBLY SCHOOL FOR WILDLIFE CONSERVATION,40.8440162,-73.8845513
