# Total Cohort,# Grads,# Total Regents,# Advanced Regents,# Dropout,# Female,# Male,# White,# Black,# Asian,# Hispanic,# Native American,# Multi-Racial,# Econ Disadv,# Not Econ Disadv,# SWD,# Not SWD
414,156,47,1,100,178,173,3,201,4,22,0,0,261,153,36,378
285,135,58,10,67,86,93,1,151,9,16,2,0,83,96,18,267
4141,1820,1365,26,1023,1888,2253,98,1409,93,2525,8,8,3379,762,761,3380
901,686,586,10,58,301,600,40,245,58,538,6,14,726,175,197,704
1718,1239,1079,64,129,971,747,24,1463,68,145,17,1,1224,494,201,1517
937,690,628,19,49,516,421,109,279,52,481,8,8,622,315,116,821
1808,1367,1143,131,118,879,929,73,219,74,1429,11,2,1535,273,252,1556
2709,399,214,4,455,1422,1287,120,980,85,1501,21,2,2190,519,388,2321
3509,2451,2279,514,301,1053,2456,357,539,615,1970,23,5,2648,861,550,2959
1002,127,114,0,90,514,488,22,310,109,558,3,0,857,145,117,885
1063,898,642,0,17,512,551,516,188,72,223,6,58,276,787,115,948
529,462,457,0,28,358,171,13,389,44,64,15,4,478,51,52,477
721,416,308,12,82,410,311,3,644,2,66,5,1,524,197,90,631
1045,587,567,4,190,491,554,21,174,47,789,12,2,969,76,59,986
1048,623,546,0,144,411,637,238,144,343,319,2,2,956,92,21,1027
1880,1283,1161,0,109,1024,856,252,45,666,914,2,1,1358,522,18,1862
1305,783,678,0,117,583,722,139,333,306,517,9,1,1053,252,77,1228
687,447,430,0,86,287,400,60,110,185,330,2,0,604,83,25,662
367,240,234,0,57,183,184,27,16,86,236,2,0,317,50,10,357
1301,832,798,196,119,665,636,1,2,1,1297,0,0,1194,107,61,1240
375,283,264,16,9,162,213,7,59,5,299,0,5,348,27,93,282
1458,1240,1194,170,52,668,790,12,1320,24,80,12,10,1088,370,181,1277
2560,1595,1355,246,240,1521,1039,105,610,133,1697,11,4,1953,607,376,2184
1006,879,853,380,52,532,474,27,395,410,120,25,29,749,257,98,908
3968,1678,1290,257,924,1841,2127,69,2186,946,736,16,15,1431,2537,417,3551
1424,547,487,0,167,759,665,99,582,41,685,8,9,1052,372,285,1139
14930,10707,9895,4302,1677,6662,8268,7116,2840,2775,2148,41,10,8102,6828,1645,13285
3167,1398,848,136,714,2157,1010,15,1106,52,1973,12,9,2597,570,584,2583
1162,154,106,1,201,663,499,12,416,13,709,5,7,1005,157,244,918
12995,7264,6107,1090,2084,5939,7056,661,3262,4158,4465,296,153,9687,3308,1597,11398
14254,8837,7685,2205,1784,7126,7128,741,2741,4419,6198,80,75,10639,3615,1576,12678
10138,6522,5997,1998,960,5145,4993,1623,2964,3512,1946,52,41,7538,2600,1044,9094
5586,2025,1074,130,1459,2220,3366,148,1568,112,3735,18,5,4059,1527,869,4717
27,1,0,0,18,0,2,1,0,0,1,0,0,17,10,26,1
1458,1079,862,107,89,907,551,78,956,38,369,5,12,1137,321,162,1296
951,373,270,8,135,469,482,10,285,11,641,4,0,788,163,176,775
